symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
ACMR,2019,107524000.0,56870000.0,50654000.0,0.4710948253,12900000.0,8061000.0,11902000.0,32863000.0,89733000.0,333000.0,745000.0,1894000.0,19685000.0,0.1830754064,17791000.0,0.1654607343,1149000.0,18940000.0,0.1761467207,-518000.0,18894000.0,0.1757189093,0.37,0.33
ACN,2019,43215013000.0,29900325000.0,13314688000.0,0.3081032973,0.0,2562158000.0,4447456000.0,7009614000.0,36909939000.0,87508000.0,22963000.0,862446000.0,7167520000.0,0.1658571756,6305074000.0,0.1459000834,-53277000.0,6251797000.0,0.1446672479,1405556000.0,4779112000.0,0.1105891603,7.49,7.36
ACNB,2019,77587000.0,0.0,77587000.0,1.0,0.0,29981000.0,559000.0,-48221000.0,-48221000.0,69558000.0,10140000.0,2696000.0,32062000.0,0.4132393313,29366000.0,0.3784912421,0.0,29366000.0,0.3784912421,5645000.0,23721000.0,0.3057342081,3.36,3.36
ACNT,2019,305168000.0,274395000.0,30773000.0,0.1008395376,0.0,0.0,0.0,32627000.0,307022000.0,0.0,3818000.0,11064000.0,55000.0,0.0001802286,-11009000.0,-0.036075211,7246000.0,-3763000.0,-0.0123309128,-727000.0,-3036000.0,-0.0099486185,-0.34,-0.34
ACON,2019,26897.0,63180.0,-36283.0,-1.3489608507,1736612.0,1586470.0,653938.0,3977820.0,4041000.0,0.0,4995.0,177249.0,-3836054.0,-142.6201435104,-4013303.0,-149.2100606016,-5955.0,-4019258.0,-149.4314607577,4835.0,-4024093.0,-149.6112205822,-0.51,-0.51
ACOR,2019,192408000.0,34849000.0,157559000.0,0.8188796724,60083000.0,0.0,0.0,278564000.0,313413000.0,4170000.0,21872000.0,25636000.0,40184000.0,0.208847865,14548000.0,0.0756101617,-288795000.0,-274247000.0,-1.4253409422,-1282000.0,-272965000.0,-1.4186780175,-688.7,-688.7
ACR,2019,47518000.0,0.0,47518000.0,1.0,0.0,12604000.0,0.0,14012000.0,14012000.0,144886000.0,83837000.0,47000.0,36013000.0,0.757881224,35966000.0,0.7568921251,251000.0,36217000.0,0.7621743339,251000.0,35966000.0,0.7568921251,2.45,2.43
ACRE,2019,77259000.0,0.0,77259000.0,1.0,0.0,7214000.0,0.0,-39753000.0,-39753000.0,114784000.0,62583000.0,667000.0,38173000.0,0.4940913033,37506000.0,0.4854580049,0.0,37506000.0,0.4854580049,515000.0,36991000.0,0.4787921148,1.29,1.28
ACRS,2019,4227000.0,4055000.0,172000.0,0.0406907973,64899000.0,27156000.0,671000.0,92726000.0,96781000.0,0.0,0.0,37008000.0,-74050000.0,-17.5183345162,-111058000.0,-26.2734800095,-2484000.0,-113542000.0,-26.8611308256,29308000.0,-142850000.0,-33.7946534185,-3.46,-3.46
ACRX,2019,2289000.0,6806000.0,-4517000.0,-1.9733508082,4661000.0,0.0,0.0,49688000.0,56494000.0,2166000.0,1198000.0,2166000.0,-52039000.0,-22.7343818261,-54205000.0,-23.6806465706,968000.0,-53237000.0,-23.2577544779,3000.0,-53240000.0,-23.2590650939,-13.45,-13.45
