symbol,year,E,S,G,ESG
AVNS,2018,35.3,56.715,56.412499999999994,49.4775
AVNT,2018,68.31750000000001,75.66,71.6875,71.8875
AVNW,2018,74.60249999999999,78.165,58.1825,70.315
AVRO,2018,51.17666666666667,62.84,60.953333333333326,58.32333333333333
AVT,2018,60.565,63.932500000000005,66.87,63.7875
AVTX,2018,63.614999999999995,58.5525,69.815,63.997499999999995
AVXL,2018,62.23,47.050000000000004,60.855000000000004,56.71000000000001
AVY,2018,55.1775,66.0,71.79249999999999,64.3225
AWH,2018,41.6825,65.2125,56.7925,54.5625
AWI,2018,65.84,66.07249999999999,65.49000000000001,65.80250000000001
AWK,2018,61.6125,53.4525,69.7675,61.6075
AWR,2018,57.24249999999999,61.695,65.315,61.415
AWRE,2018,72.96499999999999,63.64999999999999,63.87,66.8275
AWX,2018,43.525,59.9125,57.61,53.682500000000005
AX,2018,65.525,58.575,61.6325,61.9125
AXDX,2018,59.7975,62.17,71.0225,64.3275
AXGN,2018,62.4875,69.57,69.16,67.07249999999999
AXL,2018,61.0575,67.05499999999999,67.2825,65.1325
AXNX,2018,66.22999999999999,64.485,63.86,64.855
AXON,2018,73.8625,51.5075,66.75999999999999,64.04249999999999
AXP,2018,59.20249999999999,64.96249999999999,62.8825,62.352500000000006
AXR,2018,59.322500000000005,78.75999999999999,56.6975,64.92750000000001
AXS,2018,56.7775,31.112499999999997,66.98750000000001,51.625
AXSM,2018,60.6325,59.1225,60.03,59.932500000000005
AXTA,2018,69.575,69.325,65.73,68.21000000000001
AXTI,2018,50.805,57.1375,64.0775,57.339999999999996
AY,2018,70.91,66.7,64.53,67.38
AYI,2018,84.0725,80.94500000000001,68.8475,77.95500000000001
AYRO,2018,59.372499999999995,56.44500000000001,62.7375,59.5175
AYTU,2018,61.552499999999995,68.66,59.754999999999995,63.3225
AYX,2018,60.9275,62.660000000000004,59.9575,61.18
AZN,2018,52.22,76.43,56.49,61.72
AZO,2018,49.7875,60.595,59.64,56.675
AZPN,2018,67.8275,79.66250000000001,72.77499999999999,73.42
AZTA,2018,63.17,58.082499999999996,68.1125,63.1175
AZUL,2018,56.69,61.84,65.24,61.25
AZZ,2018,64.315,72.61999999999999,61.17,66.0375
B,2018,57.9425,68.345,66.5575,64.28
BA,2018,69.3425,61.6025,70.315,67.09
BABA,2018,61.81,63.23,68.97,64.67
BAC,2018,65.615,71.69,62.2275,66.50999999999999
BAH,2018,45.1875,67.4425,66.94999999999999,59.86
BAK,2018,57.23,60.81,64.97,61.0
BALY,2018,61.7,60.2,67.27,63.06
BAM,2018,50.0,50.0,62.31,54.1
BANC,2018,76.115,67.8975,68.17999999999999,70.7325
BAND,2018,64.12,67.755,59.230000000000004,63.705
BANF,2018,57.06,64.21,63.072500000000005,61.45
BANFP,2018,57.06,64.21,63.072500000000005,61.45
BANR,2018,65.3725,67.795,68.56,67.2425
BAP,2018,55.02,62.47,60.61,59.37
BATL,2018,70.14,54.2275,63.535,62.635
BATRA,2018,55.0875,67.2675,70.3825,64.25
BATRK,2018,55.0875,67.2675,70.3825,64.25
BAX,2018,60.815,61.455,69.7225,63.9975
BB,2018,34.56,50.0,48.7,44.42
BBAR,2018,66.35,61.85,57.3,61.83
BBCP,2018,67.2525,72.3675,65.09,68.2375
BBD,2018,64.26,61.74,62.02,62.68
BBDC,2018,58.8375,72.9475,70.41749999999999,67.4
BBDO,2018,64.26,61.74,62.02,62.68
BBGI,2018,59.4975,73.1575,56.2525,62.9725
BBLG,2018,50.7925,65.11,69.035,61.64750000000001
BBLGW,2018,50.7925,65.11,69.035,61.64750000000001
BBSI,2018,56.7825,58.8225,57.8825,57.8325
BBU,2018,67.2,59.04,67.33,64.52
BBVA,2018,61.93,57.95,59.98,59.96
BBW,2018,70.51666666666667,49.88666666666666,60.13,60.18
BBWI,2018,61.1725,68.98,66.945,65.7025
BBY,2018,66.6075,73.24000000000001,70.4925,70.11250000000001
BC,2018,64.13,84.4425,67.2075,71.92500000000001
BCBP,2018,72.6525,59.760000000000005,58.39,63.5975
BCC,2018,57.0,66.4325,63.752500000000005,62.392500000000005
BCDA,2018,55.7975,59.985,61.6725,59.1525
BCE,2018,50.0,50.0,59.754999999999995,53.254999999999995
BCH,2018,66.19,65.84,63.03,65.02
BCLI,2018,64.1475,73.68249999999999,69.57,69.1325
BCML,2018,63.887499999999996,73.5975,61.09,66.19
BCO,2018,73.03999999999999,65.8025,67.2625,68.70250000000001
BCOV,2018,54.822500000000005,58.6125,61.184999999999995,58.207499999999996
